Classify,Audio,BI,CPU.C,Conne,N.Net,UAR3.,USB1.,NVSE.,GFXC.,AUDI.,SDM3.,SDM4.,PLM,PLM.P,I2C5.,Toast,WNS,WU,NinetyCount,FiftyCount,TwentyCount,TenCount
PLM.P,0,0,0,0,100,0,0,0,0,0,20,6,0,100,9,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,25,10,0,100,6,0,0,0,2,2,3,3
PLM.P.I2C,0,0,0,0,100,0,0,0,0,0,24,7,0,100,81,0,0,0,2,3,4,4
PLM.P.I2C,0,0,0,0,100,0,0,0,0,0,23,6,0,100,90,0,0,0,2,3,4,4
PLM.P,0,0,0,0,100,0,0,2,44,0,41,14,0,100,24,0,0,0,2,2,5,6
GFX,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
WU,0,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,24,99,2,2,3,3
USB1,0,4,6,0,22,0,99,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
CPU.C0,0,0,98,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
WU,0,0,0,0,100,0,0,0,0,0,0,2,0,0,0,0,0,99,2,2,2,2
GFX,0,0,5,0,24,0,0,0,100,0,7,0,0,7,0,0,0,2,1,1,2,2
USB1,0,0,14,0,46,0,100,0,0,0,3,0,0,0,0,0,0,0,1,1,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,10,5,0,100,4,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,10,4,0,100,4,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,10,5,0,100,4,0,0,0,2,2,2,2
AUDIO.DEV,0,0,3,0,13,0,0,0,0,100,0,2,0,0,4,0,0,0,1,1,1,2
AUDIO.DEV,0,0,9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1
AUDIO.DEV,0,0,9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1
WU,0,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,99,2,2,2,2
PLM.P.USB,0,0,0,0,100,0,100,0,0,0,11,6,0,100,6,0,0,0,3,3,3,4
UAR3,0,0,2,0,2,100,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PLM.P,0,0,0,0,100,0,0,0,0,0,22,12,0,100,9,0,0,0,2,2,3,4
GFX,0,2,14,0,13,0,0,0,100,0,0,0,0,0,0,0,0,2,1,1,1,3
PLM.P,0,0,0,0,100,0,0,0,0,0,32,12,0,100,9,0,0,0,2,2,3,4
PLM.P,0,0,0,0,100,0,0,2,0,0,27,15,0,100,11,0,0,0,2,2,3,5
PLM.P,0,0,0,0,100,0,0,0,0,0,23,12,0,100,10,0,0,0,2,2,3,4
PLM.P,0,0,0,0,100,0,0,2,0,0,29,17,0,100,12,0,0,0,2,2,3,5
PLM.P,0,0,0,0,100,0,0,0,0,0,10,6,0,100,0,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,11,4,0,100,3,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,10,6,0,100,0,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,10,4,0,100,0,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,10,4,0,100,3,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,10,5,0,100,3,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,11,6,0,100,0,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,11,6,0,100,4,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,13,7,0,100,0,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,10,4,0,100,0,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,11,7,0,100,0,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,11,6,0,100,4,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,10,6,0,100,0,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,10,5,0,100,3,0,0,0,2,2,2,2
USB1,0,0,8,0,33,0,100,0,0,0,2,0,0,0,0,0,0,0,1,1,2,2
USB1,0,0,2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
USB1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
USB1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
UAR3,0,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
UAR3,0,0,0,0,0,100,0,0,0,0,0,3,0,0,0,0,0,14,1,1,1,2
PLM.P,0,0,0,0,100,0,0,0,0,0,30,8,0,100,5,0,0,0,2,2,3,3
PLM,0,0,0,0,100,0,0,0,0,100,0,2,99,0,0,0,0,0,3,3,3,3
GFX,0,0,2,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,2,0,9,0,0,0,100,0,0,0,0,0,0,0,0,2,1,1,1,1
AUDIO.DEV,0,0,10,0,0,0,0,0,0,99,0,0,6,0,0,0,0,0,1,1,1,1
USB1,0,0,0,0,3,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
USB1,0,0,2,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
USB1,0,9,9,0,15,0,100,0,0,0,0,2,0,0,0,0,2,0,1,1,1,2
USB1,0,2,4,0,11,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
USB1,0,0,3,0,12,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
USB1,0,0,4,0,10,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
USB1,0,0,4,0,10,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,3,0,10,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
PLM.P,0,0,0,0,100,0,0,3,0,0,29,8,0,100,8,0,0,0,2,2,3,3
N.Net,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N.Net,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N.Net,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N.Net,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Audio.Svc,99,0,0,0,12,0,0,0,0,100,0,0,0,0,9,0,0,0,2,2,2,3
PLM.P,0,0,0,0,100,0,0,0,0,0,26,5,0,100,11,0,0,0,2,2,3,4
PLM.P.USB,0,0,0,0,100,0,98,0,0,0,26,6,0,100,10,0,0,0,3,3,4,4
PLM.P,0,0,0,0,100,0,36,0,0,0,27,6,0,100,13,0,0,0,2,2,4,5
AUDIO.DEV,0,0,10,0,0,0,0,0,0,100,0,0,3,0,0,0,0,0,1,1,1,1
